id,date_listed,year,month,year_month,ortsteil,bezirk,kiez_premium,property_type,rooms,area_m2,floor,total_floors,building_era,energy_class,has_lift,has_balcony,furnished,to_brandenburg_gate_km,kaltmiete_eur_monthly,nebenkosten_eur_monthly,warmmiete_eur_monthly,rent_per_m2_kalt_eur
R005022,2022-11-11,2022,11,2022-11,Rudow,Neukölln,low,2_room,2,59.5,4,6,altbau_pre_1949,D,True,True,True,12.65,926,253,1179,15.55
R005023,2021-02-27,2021,2,2021-02,Grünau,Treptow-Köpenick,medium,2_room,2,63.9,1,4,altbau_pre_1949,E,False,True,True,16.71,649,162,811,10.15
R005024,2021-10-11,2021,10,2021-10,Mitte (Ort),Mitte,high,2_room,2,64.9,2,5,post_war_1949_1990,E,False,True,True,1.27,1149,174,1323,17.7
R005025,2021-03-26,2021,3,2021-03,Nikolassee,Steglitz-Zehlendorf,high,1_room,1,28.6,6,8,altbau_pre_1949,E,False,False,False,16.32,436,110,546,15.24
R005026,2023-12-04,2023,12,2023-12,Moabit,Mitte,medium,1_room,1,42.4,1,4,post_war_1949_1990,G,False,True,False,2.65,531,167,698,12.53
R005027,2022-07-21,2022,7,2022-07,Kreuzberg,Friedrichshain-Kreuzberg,high,4_room,4,89.8,3,4,altbau_pre_1949,E,False,True,False,3.3,1804,435,2239,20.09
R005028,2023-09-11,2023,9,2023-09,Gesundbrunnen,Mitte,medium,3_room,3,97.7,1,3,altbau_pre_1949,E,False,True,False,3.44,1940,474,2414,19.85
R005029,2023-02-02,2023,2,2023-02,Heiligensee,Reinickendorf,medium,4_room,4,135.1,3,5,altbau_pre_1949,G,False,True,False,15.95,1463,476,1938,10.82
R005030,2024-12-28,2024,12,2024-12,Falkenhagener Feld,Spandau,low,1_room,1,37.3,3,6,new_post_2010,B,True,True,False,14.19,431,141,572,11.56
R005031,2020-02-24,2020,2,2020-02,Lübars,Reinickendorf,medium,2_room,2,44.5,1,3,post_war_1949_1990,F,False,True,False,10.9,252,123,376,5.67
R005032,2020-09-24,2020,9,2020-09,Zehlendorf,Steglitz-Zehlendorf,high,2_room,2,51.6,1,5,post_war_1949_1990,E,True,False,True,11.95,722,181,903,13.98
R005033,2022-05-01,2022,5,2022-05,Konradshöhe,Reinickendorf,medium,2_room,2,77.1,0,6,modern_1990_2010,F,True,True,True,15.61,750,218,967,9.73
R005034,2022-10-21,2022,10,2022-10,Blankenburg,Pankow,low,4_room,4,99.6,0,3,altbau_pre_1949,E,False,True,False,10.12,814,530,1344,8.17
R005035,2024-12-04,2024,12,2024-12,Malchow,Lichtenberg,low,2_room,2,61.6,1,5,post_war_1949_1990,E,False,True,False,9.54,457,217,674,7.42
R005036,2020-08-18,2020,8,2020-08,Weißensee,Pankow,medium,3_room,3,88.4,4,6,modern_1990_2010,B,True,True,False,7.28,1057,344,1402,11.97
R005037,2022-11-12,2022,11,2022-11,Siemensstadt,Spandau,low,4_room,4,143.6,5,5,altbau_pre_1949,F,False,False,False,7.83,1331,668,1999,9.27
R005038,2022-11-06,2022,11,2022-11,Märkisches Viertel,Reinickendorf,low,2_room,2,67.8,2,4,post_war_1949_1990,E,True,True,False,9.5,505,336,841,7.45
R005039,2021-05-03,2021,5,2021-05,Lichtenrade,Tempelhof-Schöneberg,low,3_room,3,99.3,3,5,post_war_1949_1990,F,False,False,False,13.23,577,292,870,5.81
R005040,2023-06-17,2023,6,2023-06,Grünau,Treptow-Köpenick,medium,1_room,1,37.1,3,5,post_war_1949_1990,E,False,True,True,16.83,273,127,400,7.34
R005041,2023-08-18,2023,8,2023-08,Karow,Pankow,low,2_room,2,67.7,1,6,modern_1990_2010,C,True,False,False,13.55,851,284,1135,12.56
R005042,2023-08-01,2023,8,2023-08,Hohenschönhausen,Lichtenberg,low,2_room,2,56.3,2,3,post_war_1949_1990,E,False,True,False,10.16,519,221,740,9.22
R005043,2023-04-03,2023,4,2023-04,Buch,Pankow,low,4_room,4,119.4,2,4,altbau_pre_1949,G,False,False,False,16.0,1123,640,1764,9.4
R005044,2022-07-31,2022,7,2022-07,Gropiusstadt,Neukölln,low,1_room,1,38.9,2,5,post_war_1949_1990,F,True,True,True,12.55,318,175,493,8.17
R005045,2024-01-18,2024,1,2024-01,Mahlsdorf,Marzahn-Hellersdorf,low,1_room,1,37.3,4,5,post_war_1949_1990,E,True,True,False,17.09,260,98,358,6.97
R005046,2020-12-12,2020,12,2020-12,Steglitz,Steglitz-Zehlendorf,medium,1_room,1,31.7,5,6,post_war_1949_1990,E,False,True,False,6.73,239,109,348,7.55
R005047,2024-08-23,2024,8,2024-08,Alt-Treptow,Treptow-Köpenick,medium,2_room,2,39.8,6,6,altbau_pre_1949,F,False,False,False,5.73,752,127,879,18.9
R005048,2020-02-21,2020,2,2020-02,Mitte (Ort),Mitte,high,2_room,2,43.0,4,4,post_war_1949_1990,E,True,False,False,1.73,830,151,980,19.29
R005049,2020-09-16,2020,9,2020-09,Biesdorf,Marzahn-Hellersdorf,low,4_room,4,152.6,0,4,modern_1990_2010,F,False,True,False,10.9,1263,582,1845,8.28
R005050,2022-02-15,2022,2,2022-02,Falkenberg,Lichtenberg,low,1_room,1,44.1,5,6,post_war_1949_1990,E,True,True,False,13.46,268,144,412,6.09
R005051,2025-10-05,2025,10,2025-10,Biesdorf,Marzahn-Hellersdorf,low,2_room,2,75.5,0,3,post_war_1949_1990,F,False,False,False,11.13,452,264,716,5.99
R005052,2024-01-02,2024,1,2024-01,Neukölln (Ort),Neukölln,medium,1_room,1,34.4,1,4,altbau_pre_1949,D,False,False,False,6.01,565,107,672,16.44
R005053,2025-03-07,2025,3,2025-03,Plänterwald,Treptow-Köpenick,medium,1_room,1,39.6,3,5,post_war_1949_1990,E,True,False,True,6.9,401,137,538,10.12
R005054,2021-11-19,2021,11,2021-11,Lübars,Reinickendorf,medium,1_room,1,35.5,3,3,modern_1990_2010,A,True,True,False,9.6,393,123,516,11.07
R005055,2021-04-29,2021,4,2021-04,Schöneberg,Tempelhof-Schöneberg,high,2_room,2,57.9,3,3,post_war_1949_1990,C,False,True,False,5.9,826,161,987,14.28
R005056,2021-08-21,2021,8,2021-08,Reinickendorf (Ort),Reinickendorf,low,2_room,2,55.6,8,8,post_war_1949_1990,D,True,False,False,7.5,462,210,672,8.31
R005057,2023-06-26,2023,6,2023-06,Wannsee,Steglitz-Zehlendorf,high,4_room,4,79.1,0,4,altbau_pre_1949,E,False,True,True,17.09,2049,292,2341,25.89
R005058,2024-12-12,2024,12,2024-12,Nikolassee,Steglitz-Zehlendorf,high,4_room,4,97.4,4,5,modern_1990_2010,D,False,True,False,15.18,2548,348,2896,26.17
R005059,2020-02-05,2020,2,2020-02,Zehlendorf,Steglitz-Zehlendorf,high,2_room,2,51.9,5,6,altbau_pre_1949,E,True,False,False,12.41,871,193,1064,16.77
R005060,2021-10-14,2021,10,2021-10,Lichtenberg (Ort),Lichtenberg,medium,2_room,2,52.0,2,4,post_war_1949_1990,D,False,True,False,8.53,406,144,550,7.8
R005061,2020-08-11,2020,8,2020-08,Konradshöhe,Reinickendorf,medium,2_room,2,57.6,5,5,post_war_1949_1990,D,True,True,False,15.28,366,225,591,6.35
R005062,2020-04-24,2020,4,2020-04,Borsigwalde,Reinickendorf,low,5_room_plus,5,224.1,1,5,modern_1990_2010,A,True,False,False,7.99,2455,795,3250,10.95
R005063,2021-11-08,2021,11,2021-11,Hermsdorf,Reinickendorf,medium,2_room,2,53.5,3,4,new_post_2010,B,True,True,False,13.1,635,179,814,11.87
R005064,2025-07-17,2025,7,2025-07,Treptow,Treptow-Köpenick,medium,2_room,2,69.5,1,3,post_war_1949_1990,C,False,True,False,7.32,1068,243,1312,15.38
R005065,2024-10-16,2024,10,2024-10,Adlershof,Treptow-Köpenick,medium,1_room,1,29.4,4,8,altbau_pre_1949,F,False,True,False,14.49,341,88,429,11.63
R005066,2021-08-22,2021,8,2021-08,Malchow,Lichtenberg,low,4_room,4,138.5,4,5,post_war_1949_1990,E,True,True,False,9.23,796,375,1171,5.75
R005067,2020-10-13,2020,10,2020-10,Marienfelde,Tempelhof-Schöneberg,low,2_room,2,89.5,0,3,new_post_2010,A_plus,False,True,False,11.05,916,262,1179,10.24
R005068,2021-02-17,2021,2,2021-02,Tegel,Reinickendorf,medium,2_room,2,61.8,2,6,altbau_pre_1949,G,False,False,False,9.09,584,231,814,9.44
R005069,2022-06-13,2022,6,2022-06,Treptow,Treptow-Köpenick,medium,5_room_plus,5,201.5,1,4,altbau_pre_1949,F,False,False,False,6.37,2752,689,3442,13.66
R005070,2024-12-19,2024,12,2024-12,Gropiusstadt,Neukölln,low,1_room,1,40.6,2,6,post_war_1949_1990,G,True,True,False,12.4,400,110,509,9.84
R005071,2020-10-31,2020,10,2020-10,Nikolassee,Steglitz-Zehlendorf,high,3_room,3,117.6,1,4,new_post_2010,A,True,False,True,14.69,2506,374,2880,21.32
R005072,2025-07-26,2025,7,2025-07,Lichtenrade,Tempelhof-Schöneberg,low,3_room,3,83.9,4,6,new_post_2010,E,True,False,False,13.03,1257,242,1499,14.97
R005073,2025-09-06,2025,9,2025-09,Heiligensee,Reinickendorf,medium,2_room,2,56.4,2,5,altbau_pre_1949,D,False,True,False,14.22,775,175,950,13.73
R005074,2024-06-20,2024,6,2024-06,Karow,Pankow,low,1_room,1,30.7,1,8,altbau_pre_1949,H,False,True,False,11.66,302,106,408,9.82
R005075,2021-09-26,2021,9,2021-09,Wittenau,Reinickendorf,low,2_room,2,57.7,5,6,post_war_1949_1990,F,False,True,False,8.01,568,157,725,9.84
R005076,2025-03-03,2025,3,2025-03,Marienfelde,Tempelhof-Schöneberg,low,1_room,1,33.7,1,3,post_war_1949_1990,D,False,False,False,11.48,419,110,528,12.45
R005077,2023-11-15,2023,11,2023-11,Hansaviertel,Mitte,high,2_room,2,76.0,1,5,new_post_2010,A,False,False,False,2.13,2064,352,2416,27.17
R005078,2026-02-10,2026,2,2026-02,Lichtenberg (Ort),Lichtenberg,medium,3_room,3,104.3,5,6,altbau_pre_1949,G,False,False,False,7.68,1019,357,1376,9.77
R005079,2025-07-08,2025,7,2025-07,Charlottenburg,Charlottenburg-Wilmersdorf,high,4_room,4,101.1,4,6,post_war_1949_1990,E,False,False,False,5.84,2231,382,2612,22.05
R005080,2025-05-14,2025,5,2025-05,Blankenburg,Pankow,low,3_room,3,105.4,3,8,altbau_pre_1949,E,False,True,False,10.34,1306,367,1673,12.4
R005081,2025-05-25,2025,5,2025-05,Gropiusstadt,Neukölln,low,1_room,1,20.0,1,6,modern_1990_2010,B,True,False,False,10.14,219,54,273,10.97
R005082,2020-07-13,2020,7,2020-07,Pankow (Ort),Pankow,medium,1_room,1,44.2,5,5,altbau_pre_1949,E,False,False,False,7.15,613,144,758,13.88
R005083,2025-02-15,2025,2,2025-02,Rummelsburg,Lichtenberg,medium,2_room,2,58.8,2,3,altbau_pre_1949,G,False,False,False,7.93,816,170,986,13.87
R005084,2024-01-05,2024,1,2024-01,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,medium,3_room,3,59.2,4,4,post_war_1949_1990,E,False,True,True,6.25,881,155,1036,14.88
R005085,2023-09-17,2023,9,2023-09,Neukölln (Ort),Neukölln,medium,4_room,4,85.1,3,4,post_war_1949_1990,G,True,False,True,5.88,877,458,1335,10.31
R005086,2021-11-03,2021,11,2021-11,Steglitz,Steglitz-Zehlendorf,medium,2_room,2,50.5,2,5,modern_1990_2010,B,True,False,False,8.17,548,171,720,10.86
R005087,2023-08-24,2023,8,2023-08,Treptow,Treptow-Köpenick,medium,3_room,3,108.0,4,4,post_war_1949_1990,C,True,True,False,5.72,1313,430,1743,12.16
R005088,2024-08-25,2024,8,2024-08,Mahlsdorf,Marzahn-Hellersdorf,low,2_room,2,64.6,1,3,post_war_1949_1990,F,False,False,False,17.24,306,211,518,4.74
R005089,2020-11-16,2020,11,2020-11,Wilmersdorf,Charlottenburg-Wilmersdorf,high,3_room,3,81.0,1,4,modern_1990_2010,B,True,False,False,6.1,1401,204,1605,17.3
R005090,2020-06-10,2020,6,2020-06,Friedenau,Tempelhof-Schöneberg,high,2_room,2,75.2,3,4,post_war_1949_1990,F,True,True,True,6.08,922,189,1111,12.26
R005091,2023-12-24,2023,12,2023-12,Rummelsburg,Lichtenberg,medium,2_room,2,68.7,6,6,post_war_1949_1990,F,True,True,False,8.22,559,334,893,8.13
R005092,2023-05-05,2023,5,2023-05,Tiergarten,Mitte,high,2_room,2,75.1,3,4,altbau_pre_1949,F,False,True,False,1.69,1821,344,2165,24.26
R005093,2020-01-24,2020,1,2020-01,Frohnau,Reinickendorf,medium,4_room,4,108.1,6,6,post_war_1949_1990,A,True,True,False,14.95,1329,287,1616,12.29
R005094,2024-12-12,2024,12,2024-12,Lübars,Reinickendorf,medium,1_room,1,26.6,1,5,altbau_pre_1949,E,False,False,False,9.74,269,87,356,10.13
R005095,2025-02-02,2025,2,2025-02,Hansaviertel,Mitte,high,2_room,2,61.4,6,6,modern_1990_2010,E,True,False,False,1.97,1601,189,1790,26.07
R005096,2024-03-17,2024,3,2024-03,Biesdorf,Marzahn-Hellersdorf,low,3_room,3,84.3,3,6,post_war_1949_1990,E,False,True,False,11.51,583,277,859,6.91
R005097,2022-08-03,2022,8,2022-08,Konradshöhe,Reinickendorf,medium,1_room,1,45.7,0,3,post_war_1949_1990,E,False,True,False,13.87,373,162,535,8.16
R005098,2023-03-31,2023,3,2023-03,Rummelsburg,Lichtenberg,medium,4_room,4,141.7,1,8,altbau_pre_1949,G,False,False,False,7.82,1359,500,1858,9.58
R005099,2022-09-18,2022,9,2022-09,Adlershof,Treptow-Köpenick,medium,4_room,4,170.6,3,5,post_war_1949_1990,E,False,False,False,14.23,1725,676,2400,10.11
R005100,2022-12-29,2022,12,2022-12,Neukölln (Ort),Neukölln,medium,2_room,2,56.2,3,5,post_war_1949_1990,F,False,True,False,5.08,586,267,853,10.42
R005101,2020-03-06,2020,3,2020-03,Französisch Buchholz,Pankow,medium,5_room_plus,5,131.0,0,4,altbau_pre_1949,F,False,True,False,8.46,1190,438,1627,9.08
R005102,2022-12-02,2022,12,2022-12,Karow,Pankow,low,2_room,2,88.6,0,8,altbau_pre_1949,F,False,True,False,12.82,904,304,1209,10.21
R005103,2026-04-29,2026,4,2026-04,Steglitz,Steglitz-Zehlendorf,medium,2_room,2,54.6,0,5,post_war_1949_1990,D,False,False,False,8.32,832,151,984,15.24
R005104,2020-01-18,2020,1,2020-01,Gropiusstadt,Neukölln,low,1_room,1,35.5,0,6,post_war_1949_1990,G,True,True,True,12.1,283,139,421,7.97
R005105,2024-08-13,2024,8,2024-08,Blankenburg,Pankow,low,4_room,4,142.0,4,6,post_war_1949_1990,E,False,True,False,10.29,1070,464,1534,7.53
R005106,2021-02-18,2021,2,2021-02,Lichtenrade,Tempelhof-Schöneberg,low,2_room,2,56.1,3,4,post_war_1949_1990,D,True,False,False,12.67,408,197,605,7.28
R005107,2021-11-04,2021,11,2021-11,Rummelsburg,Lichtenberg,medium,1_room,1,36.9,3,4,modern_1990_2010,C,True,False,False,7.24,396,114,510,10.74
R005108,2024-02-25,2024,2,2024-02,Lübars,Reinickendorf,medium,2_room,2,81.1,3,4,post_war_1949_1990,D,False,False,False,10.2,623,264,888,7.68
R005109,2026-04-05,2026,4,2026-04,Buckow,Neukölln,low,1_room,1,35.7,6,6,altbau_pre_1949,D,False,True,True,9.55,447,104,550,12.52
R005110,2021-07-20,2021,7,2021-07,Mariendorf,Tempelhof-Schöneberg,medium,1_room,1,39.4,0,5,new_post_2010,B,True,False,False,9.02,560,144,704,14.21
R005111,2025-08-23,2025,8,2025-08,Plänterwald,Treptow-Köpenick,medium,3_room,3,60.6,6,6,post_war_1949_1990,G,True,False,False,7.27,696,221,918,11.49
R005112,2022-05-17,2022,5,2022-05,Baumschulenweg,Treptow-Köpenick,medium,2_room,2,54.7,2,6,altbau_pre_1949,G,False,True,False,9.08,457,206,662,8.35
R005113,2020-03-10,2020,3,2020-03,Müggelheim,Treptow-Köpenick,low,4_room,4,114.7,3,5,post_war_1949_1990,F,False,False,False,21.87,688,380,1068,5.99
R005114,2025-04-11,2025,4,2025-04,Hermsdorf,Reinickendorf,medium,2_room,2,62.1,4,4,post_war_1949_1990,F,True,False,False,10.25,613,242,854,9.87
R005115,2021-11-25,2021,11,2021-11,Spandau (Ort),Spandau,low,2_room,2,67.8,3,3,altbau_pre_1949,E,False,False,False,12.78,612,220,831,9.03
R005116,2025-10-16,2025,10,2025-10,Pankow (Ort),Pankow,medium,1_room,1,20.9,4,4,new_post_2010,A,True,False,False,6.38,493,78,571,23.56
R005117,2021-08-13,2021,8,2021-08,Baumschulenweg,Treptow-Köpenick,medium,2_room,2,50.6,0,4,altbau_pre_1949,E,False,True,False,8.7,578,159,737,11.41
R005118,2025-10-02,2025,10,2025-10,Schmargendorf,Charlottenburg-Wilmersdorf,high,3_room,3,71.9,1,3,altbau_pre_1949,E,False,True,False,7.0,1258,239,1497,17.49
R005119,2020-09-16,2020,9,2020-09,Tegel,Reinickendorf,medium,4_room,4,121.0,2,6,modern_1990_2010,A_plus,True,False,False,9.2,1119,402,1521,9.25
R005120,2024-09-27,2024,9,2024-09,Zehlendorf,Steglitz-Zehlendorf,high,4_room,4,111.9,5,6,new_post_2010,A,False,False,False,13.51,3583,347,3930,32.01
R005121,2022-04-28,2022,4,2022-04,Rummelsburg,Lichtenberg,medium,3_room,3,80.7,0,3,altbau_pre_1949,F,False,False,True,8.06,825,286,1111,10.23
R005122,2023-03-06,2023,3,2023-03,Lichtenberg (Ort),Lichtenberg,medium,1_room,1,48.3,8,8,post_war_1949_1990,G,False,True,True,8.65,359,249,608,7.42
R005123,2021-06-28,2021,6,2021-06,Grünau,Treptow-Köpenick,medium,2_room,2,59.7,0,4,new_post_2010,A_plus,True,False,False,16.95,766,220,986,12.83
R005124,2022-08-15,2022,8,2022-08,Grünau,Treptow-Köpenick,medium,1_room,1,42.8,4,5,post_war_1949_1990,F,True,True,False,17.72,391,197,588,9.14
R005125,2021-12-28,2021,12,2021-12,Staaken,Spandau,low,2_room,2,87.2,1,6,post_war_1949_1990,B,True,False,False,16.94,387,240,626,4.43
R005126,2026-02-28,2026,2,2026-02,Niederschönhausen,Pankow,medium,2_room,2,48.5,0,4,altbau_pre_1949,E,False,False,False,5.79,839,122,961,17.31
R005127,2022-12-19,2022,12,2022-12,Französisch Buchholz,Pankow,medium,3_room,3,100.5,1,3,post_war_1949_1990,F,False,False,False,9.15,838,368,1206,8.34
R005128,2022-04-12,2022,4,2022-04,Hansaviertel,Mitte,high,3_room,3,61.0,1,3,altbau_pre_1949,G,False,False,False,2.45,1022,172,1194,16.75
R005129,2020-09-06,2020,9,2020-09,Westend,Charlottenburg-Wilmersdorf,high,2_room,2,48.3,0,8,altbau_pre_1949,B,True,True,False,6.63,626,140,766,12.96
R005130,2022-01-16,2022,1,2022-01,Niederschönhausen,Pankow,medium,2_room,2,57.6,2,6,modern_1990_2010,B,True,True,False,7.31,833,185,1018,14.47
R005131,2024-07-02,2024,7,2024-07,Friedrichshain,Friedrichshain-Kreuzberg,high,3_room,3,118.0,1,5,modern_1990_2010,C,True,True,True,6.55,2442,334,2776,20.7
R005132,2023-07-22,2023,7,2023-07,Wannsee,Steglitz-Zehlendorf,high,3_room,3,85.3,0,6,new_post_2010,B,True,True,False,17.38,2472,296,2768,28.97
R005133,2020-05-21,2020,5,2020-05,Wilmersdorf,Charlottenburg-Wilmersdorf,high,3_room,3,111.2,0,4,post_war_1949_1990,C,False,True,False,5.32,1589,286,1875,14.29
R005134,2024-01-14,2024,1,2024-01,Wittenau,Reinickendorf,low,2_room,2,62.0,3,4,post_war_1949_1990,G,True,True,True,9.84,502,226,728,8.1
R005135,2025-08-26,2025,8,2025-08,Lichtenberg (Ort),Lichtenberg,medium,1_room,1,50.4,3,3,modern_1990_2010,C,False,False,True,9.04,666,132,798,13.21
R005136,2022-12-13,2022,12,2022-12,Falkenhagener Feld,Spandau,low,2_room,2,42.5,2,4,post_war_1949_1990,F,True,False,False,14.16,245,204,449,5.77
R005137,2021-03-09,2021,3,2021-03,Friedrichshagen,Treptow-Köpenick,medium,3_room,3,72.8,3,3,post_war_1949_1990,H,False,True,False,17.96,511,278,790,7.02
R005138,2026-01-04,2026,1,2026-01,Wilmersdorf,Charlottenburg-Wilmersdorf,high,3_room,3,68.4,0,3,new_post_2010,C,True,False,True,4.5,2304,207,2511,33.7
R005139,2022-09-30,2022,9,2022-09,Alt-Treptow,Treptow-Köpenick,medium,3_room,3,76.8,1,4,modern_1990_2010,D,True,True,True,4.57,1065,388,1453,13.86
R005140,2022-11-12,2022,11,2022-11,Alt-Treptow,Treptow-Köpenick,medium,4_room,4,136.0,3,5,altbau_pre_1949,F,False,True,False,6.1,1923,566,2489,14.14
R005141,2022-05-15,2022,5,2022-05,Dahlem,Steglitz-Zehlendorf,high,1_room,1,34.0,1,8,altbau_pre_1949,G,True,True,False,8.85,618,134,752,18.16
R005142,2020-06-05,2020,6,2020-06,Hansaviertel,Mitte,high,2_room,2,62.7,0,5,post_war_1949_1990,F,False,True,False,3.62,744,235,978,11.87
R005143,2024-05-16,2024,5,2024-05,Frohnau,Reinickendorf,medium,2_room,2,74.2,3,4,post_war_1949_1990,A,False,False,False,14.35,935,289,1225,12.61
R005144,2022-08-26,2022,8,2022-08,Borsigwalde,Reinickendorf,low,2_room,2,43.1,5,5,modern_1990_2010,B,True,False,False,9.91,440,173,612,10.2
R005145,2023-08-24,2023,8,2023-08,Mariendorf,Tempelhof-Schöneberg,medium,1_room,1,41.7,2,3,post_war_1949_1990,E,False,True,False,8.61,410,183,593,9.85
R005146,2024-06-08,2024,6,2024-06,Schmargendorf,Charlottenburg-Wilmersdorf,high,3_room,3,86.4,0,5,altbau_pre_1949,H,False,True,False,6.91,1120,263,1383,12.96
R005147,2024-08-16,2024,8,2024-08,Reinickendorf (Ort),Reinickendorf,low,2_room,2,65.2,2,3,post_war_1949_1990,D,False,True,True,6.96,644,216,860,9.88
R005148,2024-01-27,2024,1,2024-01,Moabit,Mitte,medium,1_room,1,31.9,1,4,altbau_pre_1949,F,False,True,False,3.11,517,118,635,16.24
R005149,2021-05-19,2021,5,2021-05,Falkenhagener Feld,Spandau,low,2_room,2,43.3,2,4,altbau_pre_1949,E,False,False,False,13.03,290,129,420,6.71
R005150,2024-01-08,2024,1,2024-01,Rudow,Neukölln,low,3_room,3,82.6,1,3,new_post_2010,A_plus,True,True,True,13.37,1465,206,1672,17.75
R005151,2020-12-24,2020,12,2020-12,Friedrichshagen,Treptow-Köpenick,medium,4_room,4,116.9,2,6,post_war_1949_1990,C,False,True,False,18.4,1114,349,1463,9.53
R005152,2022-06-11,2022,6,2022-06,Lichterfelde,Steglitz-Zehlendorf,medium,3_room,3,119.6,3,4,modern_1990_2010,C,True,True,False,11.55,2029,328,2356,16.96
R005153,2020-01-14,2020,1,2020-01,Kladow,Spandau,medium,1_room,1,40.8,1,5,post_war_1949_1990,G,True,True,False,15.96,261,115,377,6.4
R005154,2022-08-03,2022,8,2022-08,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,medium,1_room,1,25.7,6,6,modern_1990_2010,D,True,True,False,5.6,467,87,554,18.15
R005155,2024-06-22,2024,6,2024-06,Reinickendorf (Ort),Reinickendorf,low,1_room,1,31.8,4,5,post_war_1949_1990,F,False,False,False,7.12,201,107,308,6.32
R005156,2025-11-11,2025,11,2025-11,Rudow,Neukölln,low,2_room,2,49.3,1,5,altbau_pre_1949,F,False,True,False,12.74,605,154,759,12.28
R005157,2021-07-15,2021,7,2021-07,Rudow,Neukölln,low,3_room,3,103.6,1,3,altbau_pre_1949,C,False,False,False,13.57,868,338,1206,8.38
R005158,2024-06-12,2024,6,2024-06,Friedrichshagen,Treptow-Köpenick,medium,3_room,3,66.4,2,4,altbau_pre_1949,E,False,False,False,17.38,886,247,1134,13.36
R005159,2021-08-30,2021,8,2021-08,Spandau (Ort),Spandau,low,2_room,2,74.4,1,5,altbau_pre_1949,H,True,True,False,13.06,450,287,736,6.04
R005160,2021-11-18,2021,11,2021-11,Spandau (Ort),Spandau,low,2_room,2,33.3,4,6,post_war_1949_1990,C,True,True,False,12.3,301,95,396,9.06
R005161,2020-10-11,2020,10,2020-10,Buckow,Neukölln,low,3_room,3,73.6,3,4,post_war_1949_1990,E,True,False,False,11.13,466,288,754,6.33
R005162,2024-12-14,2024,12,2024-12,Lichtenberg (Ort),Lichtenberg,medium,4_room,4,100.9,0,4,post_war_1949_1990,E,False,True,False,8.44,1104,319,1423,10.94
R005163,2022-07-27,2022,7,2022-07,Hohenschönhausen,Lichtenberg,low,2_room,2,55.8,3,5,altbau_pre_1949,C,True,False,True,10.13,529,295,824,9.49
R005164,2025-10-18,2025,10,2025-10,Hermsdorf,Reinickendorf,medium,1_room,1,32.6,1,3,post_war_1949_1990,C,False,True,False,13.34,432,95,527,13.28
R005165,2026-02-03,2026,2,2026-02,Pankow (Ort),Pankow,medium,3_room,3,73.8,2,4,altbau_pre_1949,D,False,False,False,6.31,1596,289,1885,21.62
R005166,2023-12-31,2023,12,2023-12,Falkenberg,Lichtenberg,low,1_room,1,39.8,2,4,altbau_pre_1949,G,False,True,True,13.17,249,182,432,6.27
R005167,2026-03-15,2026,3,2026-03,Prenzlauer Berg,Pankow,high,3_room,3,77.8,2,5,new_post_2010,A_plus,False,False,True,4.04,2710,250,2960,34.83
R005168,2022-09-01,2022,9,2022-09,Karow,Pankow,low,1_room,1,48.1,2,5,new_post_2010,B,True,False,True,13.69,822,198,1020,17.11
R005169,2022-07-18,2022,7,2022-07,Lankwitz,Steglitz-Zehlendorf,medium,4_room,4,124.3,1,6,post_war_1949_1990,G,True,True,False,8.62,1260,473,1733,10.13
R005170,2020-03-30,2020,3,2020-03,Hellersdorf,Marzahn-Hellersdorf,low,1_room,1,25.1,4,6,post_war_1949_1990,F,True,False,False,15.92,96,93,190,3.85
R005171,2020-11-29,2020,11,2020-11,Friedrichsfelde,Lichtenberg,low,1_room,1,43.6,2,4,modern_1990_2010,E,True,False,False,10.06,374,152,526,8.57
R005172,2021-04-25,2021,4,2021-04,Friedrichshain,Friedrichshain-Kreuzberg,high,2_room,2,65.4,0,6,altbau_pre_1949,F,False,True,True,5.33,799,172,972,12.23
R005173,2023-11-30,2023,11,2023-11,Lichterfelde,Steglitz-Zehlendorf,medium,3_room,3,94.1,0,6,new_post_2010,A,True,True,False,10.59,1844,488,2332,19.59
R005174,2024-11-22,2024,11,2024-11,Rudow,Neukölln,low,2_room,2,60.8,0,4,post_war_1949_1990,E,True,True,False,13.65,740,209,949,12.18
R005175,2023-12-25,2023,12,2023-12,Pankow (Ort),Pankow,medium,4_room,4,111.4,2,3,altbau_pre_1949,F,False,True,False,6.44,1520,502,2022,13.65
R005176,2020-10-02,2020,10,2020-10,Staaken,Spandau,low,2_room,2,58.1,3,4,altbau_pre_1949,G,False,True,True,17.57,307,165,472,5.29
R005177,2025-08-22,2025,8,2025-08,Tiergarten,Mitte,high,2_room,2,66.5,5,5,modern_1990_2010,A_plus,True,True,True,2.12,2674,206,2879,40.23
R005178,2024-02-14,2024,2,2024-02,Märkisches Viertel,Reinickendorf,low,2_room,2,57.4,4,4,altbau_pre_1949,G,False,False,False,10.37,363,219,582,6.32
R005179,2023-08-07,2023,8,2023-08,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,medium,3_room,3,95.7,0,4,modern_1990_2010,D,True,False,False,6.61,1597,409,2006,16.69
R005180,2022-08-25,2022,8,2022-08,Waidmannslust,Reinickendorf,low,1_room,1,45.9,0,6,post_war_1949_1990,C,False,True,False,9.17,349,181,531,7.6
